gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Map3k6,12.11,12.16,0.06,12.14,3.177,4.35,6.54
Mbd1,12.82,12.41,0.41,12.62,3.303,40.78,66.24
Mmp14,2.1,4.2,2.1,3.15,0.8251,24.46,20.56
Mrln,3.41,2.8,0.61,3.1,0.812,7.49,8.69
Mthfd1l,13.12,12.65,0.47,12.88,3.3722,17.34,5.27
Nfil3,23.11,22.11,1.0,22.61,5.9202,17.65,5.8
Nmb,15.73,14.64,1.09,15.18,3.9749,3.39,2.51
Npas2,1.65,1.76,0.1,1.7,0.4461,87.8,62.88
Nr1d1,8.89,9.17,0.28,9.03,2.3631,480.82,378.67
Nr1d2,11.4,10.61,0.79,11.0,2.8808,167.19,152.42
Pdcd4,9.67,8.97,0.7,9.32,2.4397,4.32,4.95
Pdk4,12.01,9.21,2.8,10.61,2.7788,12.45,6.98
Per1,11.35,11.66,0.31,11.5,3.0111,21.11,27.65
Per2,14.96,14.05,0.91,14.51,3.7981,71.93,48.04
Per3,12.49,12.32,0.17,12.4,3.2472,101.77,74.58
Pik3ip1,11.45,10.93,0.52,11.19,2.9302,11.73,14.91
Pkd1,16.4,16.92,0.52,16.66,4.3619,8.29,3.48
Plekha6,10.6,8.74,1.86,9.67,2.5319,20.06,5.79
Prdx6,10.87,9.35,1.52,10.11,2.6469,15.97,28.83
Prg4,6.37,9.04,2.67,7.7,2.016,8.8,4.76
Ptgs2,13.4,15.64,2.24,14.52,3.8002,4.19,43.57
Rab6b,17.17,16.88,0.29,17.03,4.4572,3.76,3.29
Rasd2,12.52,10.2,2.32,11.36,2.9729,2.13,5.5
Rasl11a,23.99,23.17,0.83,23.58,6.1733,3.84,4.49
Rbm3,9.56,7.73,1.83,8.64,2.2631,239.23,35.61
Rere,11.21,10.14,1.07,10.67,2.7947,2.59,8.96
Rhoc,3.75,2.17,1.57,2.96,0.7755,9.71,5.85
Rnf144a,0.73,1.45,0.72,1.09,0.2858,5.54,7.95
Scp2,11.04,8.49,2.55,9.76,2.5558,27.06,9.55
Sdf2l1,22.27,23.65,1.38,22.96,6.0108,24.66,11.42
Serpine1,9.52,11.53,2.01,10.52,2.7551,20.87,8.47
Slc10a6,10.37,11.16,0.8,10.77,2.8183,3.44,6.84
Slco3a1,16.93,16.92,0.01,16.93,4.431,10.14,12.72
Smpdl3b,16.72,16.58,0.14,16.65,4.3592,22.9,20.93
Sord,10.93,10.32,0.61,10.62,2.781,7.76,13.78
Spata24,5.76,6.54,0.78,6.15,1.6111,2.49,3.61
Tcap,9.95,9.97,0.02,9.96,2.608,112.61,46.44
Tef,12.26,12.31,0.05,12.28,3.216,99.4,70.54
Tmem14a,15.6,16.31,0.71,15.96,4.1774,12.25,3.72
Tmem52,13.53,11.81,1.73,12.67,3.3169,12.64,29.78
Tmem86a,10.42,8.3,2.12,9.36,2.4496,31.86,7.76
Tns2,9.81,8.42,1.38,9.12,2.3864,14.58,2.89
Tsc22d3,13.39,12.08,1.3,12.73,3.3334,239.01,80.22
Tspan4,14.04,14.5,0.46,14.27,3.7356,181.13,82.5
Ttc39b,6.67,7.08,0.41,6.88,1.8005,5.74,4.13
Vgll3,0.02,23.16,0.85,23.59,6.176,32.52,11.0
Wee1,11.71,12.32,0.62,12.02,3.1459,13.78,11.67
Zbtb16,12.04,11.92,0.12,11.98,3.1354,83.98,46.5
