gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Gm47664,15.87,14.88,0.98,15.38,4.0254,43.63,19.3
Gm4876,4.56,3.38,1.19,3.97,1.0398,99.86,55.63
Gm49708,11.17,8.9,2.27,10.03,2.6271,42.07,32.75
Gm5914,6.84,6.09,0.75,6.47,1.6928,10.66,12.3
Gm830,0.53,0.09,0.44,0.31,0.0809,74.64,37.57
Gpcpd1,9.26,8.96,0.3,9.11,2.3848,31.1,77.62
Gpr146,8.15,7.11,1.03,7.63,1.9973,104.17,156.58
Gramd4,0.16,0.03,0.13,0.09,0.0239,16.31,6.87
Grip2,23.5,22.3,1.21,22.9,5.9949,31.01,71.72
Grk5,0.13,23.76,0.37,23.95,6.2691,59.17,45.63
Grtp1,9.7,8.42,1.27,9.06,2.3724,5.17,11.77
Gsto1,12.42,11.57,0.84,11.99,3.1403,27.46,8.49
Gstt1,18.7,17.82,0.88,18.26,4.7804,120.29,144.65
Haghl,8.43,8.75,0.33,8.59,2.2486,45.29,3.94
Hapln1,14.63,13.31,1.32,13.97,3.6567,89.61,6.71
Hebp2,6.47,6.3,0.17,6.38,1.6704,18.13,29.48
Hes6,6.55,6.21,0.34,6.38,1.6705,68.97,58.35
Higd1a,16.73,15.2,1.53,15.97,4.1801,231.53,358.13
Hist2h3c2,20.31,19.82,0.5,20.06,5.2527,33.11,12.48
Hlf,13.57,12.52,1.05,13.04,3.4146,1860.22,1150.62
Hmgb3,8.33,6.88,1.45,7.6,1.9905,37.81,72.49
Hmgcs1,20.7,18.43,2.27,19.57,5.1222,150.89,42.93
Hsp90b1,23.43,1.38,1.94,0.41,0.1063,150.31,5.72
Hspa5,21.7,22.8,1.1,22.25,5.8252,1086.47,116.64
Hspb7,10.79,10.66,0.13,10.73,2.8084,1374.69,803.35
Htr2a,0.23,22.76,1.48,23.5,6.151,34.11,7.08
Idi1,20.62,17.72,2.91,19.17,5.0187,327.38,103.05
Ier5,0.23,23.68,0.55,23.95,6.2708,351.67,119.74
Ifi30,11.77,9.03,2.74,10.4,2.7229,87.92,2.35
Ifit3,14.94,14.48,0.45,14.71,3.8512,819.02,319.61
Ifit3b,15.13,14.75,0.38,14.94,3.9105,367.83,143.35
Igfbp5,15.36,13.08,2.28,14.22,3.7228,754.84,153.71
Igsf8,14.62,13.82,0.8,14.22,3.7231,77.91,11.33
Il16,10.53,9.84,0.69,10.18,2.6661,7.27,4.41
Il33,15.09,13.8,1.3,14.44,3.7814,3.69,14.7
Inhbb,20.49,21.37,0.88,20.93,5.4795,48.34,6.35
Jam2,17.12,16.81,0.31,16.97,4.442,46.87,53.19
Jdp2,16.94,18.33,1.4,17.64,4.6169,24.9,7.67
Kcna2,2.07,4.12,2.05,3.09,0.8102,24.75,23.19
Kcnd3,6.81,4.7,2.11,5.75,1.5061,4.94,4.2
Kcnq3,19.35,19.29,0.06,19.32,5.0589,4.14,14.29
Klf15,11.49,10.0,1.48,10.74,2.8129,386.67,344.37
Klf9,10.53,10.57,0.04,10.55,2.7625,713.51,189.76
Klhdc8b,10.26,9.42,0.84,9.84,2.5762,65.62,3.69
Klhl30,1.65,0.62,1.03,1.13,0.2963,18.49,17.79
Krt18,3.66,4.27,0.62,3.97,1.0383,53.79,23.57
Ky,4.67,4.88,0.21,4.77,1.2494,68.25,126.79
Lancl3,23.56,23.01,0.55,23.29,6.0963,42.38,60.06
Lasp1,0.2,23.4,0.8,23.8,6.231,28.87,59.58
Ldlr,20.89,17.92,2.97,19.41,5.0809,217.57,142.45
Leo1,0.04,23.68,0.35,23.86,6.2468,334.64,155.9
Limch1,2.2,1.13,1.07,1.67,0.4359,378.24,370.05
Limd1,12.51,12.78,0.26,12.65,3.3108,13.6,5.35
Lmcd1,0.51,23.84,0.67,0.17,0.0456,770.38,795.84
Lonrf1,15.3,14.74,0.56,15.02,3.9323,177.33,88.46
Lox,23.69,23.27,0.42,23.48,6.1482,1011.66,851.77
Lpl,15.73,16.75,1.02,16.24,4.2508,302.38,90.88
Lratd1,5.72,5.43,0.29,5.58,1.4598,20.05,20.48
Lrg1,12.26,10.38,1.89,11.32,2.9637,11.85,10.51
Lrrc17,9.58,9.73,0.16,9.66,2.5277,13.74,10.78
Lsm6,4.9,3.94,0.96,4.42,1.1564,2.1,14.88
Lyst,20.63,18.96,1.67,19.79,5.1823,31.49,111.34
Lzts3,18.85,19.14,0.29,19.0,4.9732,7.41,17.53
Maco1,14.45,15.29,0.84,14.87,3.893,57.1,136.38
Mamdc2,14.97,13.22,1.75,14.09,3.6895,4.97,16.28
Maml3,8.5,8.19,0.31,8.34,2.1839,28.02,7.57
Manf,19.39,21.0,1.61,20.2,5.2874,456.81,103.25
Map1a,0.27,22.56,1.7,23.42,6.1305,326.69,138.93
Mapre2,14.89,14.57,0.32,14.73,3.856,107.27,47.78
