tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
NFYB (mouse),67,Pdgfc;Sdf2l1;Adam33;Slco3a1;Hsp90b1;Slc9a3r1;Hnrnpa1;Flywch2;Akr1c14;Herpud1;Enpp4;Etv1;Nav2;Rnd3;St3gal5;Fdft1;Tmem229b;Snrpn;Yipf4;Hmgcs1;Mcm5;Adamts8;Cyp2u1;Arrdc2;Arrdc4;Ifit3;Pdk4;Magt1;Vwc2;Col6a6;Cdh18;Idi1;Stard4;Rfx2;Prex2;Tmem97;Vbp1;Capzb;Mmab;Ereg;Ptprf;Cetn3;Stk35;Rpa3;Per3;Per1;Mid1;Fdps;Prnp;Sfpq;Adnp2;Sulf1;Plcl1;Cyp4f14;Ak4;Itpr2;Dusp18;Klf9;Clec2d;Arntl;Gng10;Hist1h3e;Sgk1;Stip1;Trip10;Myoz2;Hspa5,2.6865671641791047,6,14.936997292889789,5.447747182360196,13.0
CEBPE (human),9,Snrpn;Rfx2;Ndrg1;Dpysl2;Uap1l1;Pusl1;Dbi;Nfil3;Gfod1,2.6666666666666665,11,7.915845464622224,8.814546249091626,23.0
NFATC2 (human),9,Cdk14;Sema5a;Sdcbp;H1fx;Cgnl1;Limch1;Gsto1;Hcls1;Mvd,2.6666666666666665,6,15.98241652925266,4.754182432313459,13.0
Arnt::Ahr (mouse),9,Tagln2;Ifi30;Banp;Aldoa;Nudt10;Prdm6;Ldlr;Smad7;Frmd4a,2.6666666666666665,6,20.003100876950178,8.85905122988662,13.0
GABPA (human),9,Tfap2b;Sfrp2;Mthfd2;Tob2;Frzb;Cdh2;Sult1a1;Jdp2;Nqo1,2.6666666666666665,4,13.527993369950877,4.005653515891014,9.0
ELF5 (mouse),18,Eln;Dhrs3;Gpr146;Leo1;Ogn;Col15a1;C1galt1c1;Gm973;Tlr2;Aldoa;Rab6b;Snx7;Ptn;Mid1;Dock5;Cytl1;Ddx17;Trib2,2.6666666666666665,7,15.010075035369553,6.626406752927302,15.0
CBFB (human),36,Vps13a;Nmt1;Mdc1;Mmab;Tpd52l1;Upp2;Ppp1r1b;Sec14l1;Snx7;Mrps26;Nrp1;Mid1;Prdm6;Asb10;Prnp;Plat;Pthlh;Hnrnpk;Myc;Nr1d2;Dusp23;Fam107a;S100a7a;Lancl3;Wasf1;P2rx5;Asph;Rhebl1;Arntl;Slc22a4;Pdk4;Gdf15;Zfp36l2;Tmem108;Wnt16;Pde4b,2.6666666666666665,5,16.390407323216714,8.471606301601806,11.0
IKZF1 (human),50,Tmem82;Baz1b;Adssl1;Adam33;Ppp1r15a;Baiap2;Tspan15;Rsad1;Sfrp2;Crispld2;Grap;Scn2b;Gcdh;Actr3b;Ube2g1;Mrps26;Pnpla2;Rarres1;Proca1;Cnn1;Gpcpd1;R3hdm2;Spata24;Slc6a6;Pqlc3;Gramd1c;Smoc1;Sbsn;Cacnb2;Frmd4a;Fam107a;Rhobtb1;Klf2;Smpdl3b;Tulp1;Ifit3;Dpf1;Krt18;Aldoa;Ubxn1;Cilp2;Gdf15;Atp1b2;Nol3;Nt5c;Uap1l1;Pdzd2;Lonrf3;Chid1;Pik3ip1,2.64,5,11.730539381798977,6.200134415958452,11.0
Nkx3-2 (mouse),41,Ngef;Pkig;Pacsin2;Kcna2;Foxp2;Slc16a9;Kcnd3;Hprt;Fbxo30;Sat1;Baiap2;Tnfrsf21;Ip6k2;Col15a1;Ereg;Ntn4;Aimp2;Net1;Hhip;Apobec2;Sfi1;Csrnp1;Socs2;Dync1i2;Bmp3;Isoc1;Tspyl5;Gnl1;Tead1;Hcls1;Kremen1;Abhd11;Col27a1;Ang;Tnnt2;Sgk1;Zdhhc23;Casq1;Col6a6;Zmat1;Pde4b,2.6341463414634148,6,12.34241566659587,6.198964259624739,13.0
TFAP2C (human),73,B3galnt1;Ngef;Pdxk;Ewsr1;Hes1;Hes6;Klf11;Adssl1;Pdgfb;Lrrc20;Mitd1;Kcnc4;Fabp3;Cdc25b;Slc9a3r1;Lrrc4b;Myadml2;Ephb6;Actn2;Hivep3;Tspan4;Il16;Ube2g1;Anln;Tfap4;Creld2;Csrnp1;Per2;Tcap;Slc1a4;Prnp;Gem;Ets1;Eef2k;Pdlim4;Wnt4;Lnx2;Prr7;Homer2;Ahnak;Adcy7;Myc;Adnp2;Pqlc3;Jdp2;Cyb561;Gpr146;Slc8a3;Ckb;Dgkh;Ablim1;Cacnb2;Insig1;Cdc14a;Serpini1;Mri1;Cpt1a;Ang;Cebpb;Eif4a1;Tulp1;Cbfa2t3;Rps21;Acvrl1;Mpzl1;Tgfb1;Rasd1;Myh10;Caprin2;Dock8;Nfkbia;Lonrf3;Ddit4,2.6301369863013697,5,9.613966641213647,6.282791667795464,11.0
ESR1 (human),73,Upb1;Pdxk;Baz1b;Nmt1;Mdc1;Sult1a1;Adam33;Pxmp2;Pgam1;Rnaseh2b;Rasl11a;Ppp1r15a;Npas4;Slc9a3r1;Lrrc4b;Fuz;Synpo2l;Mdn1;Tspan15;Gcdh;Actr3b;Tspan4;Cd14;Gab1;Tfap4;Id1;Socs2;Lmcd1;Per1;Herpud1;Rarres1;Klhl30;Fdps;Ccnb1ip1;Ebp;Naa20;Npr3;Dapk1;Fam98b;Mvd;Prelid2;Hnrnpm;Polr3h;Serpine1;Fam120c;Slc16a11;Nr1d2;Gnl1;Rnf145;Tmem165;Tle1;Fkbp5;Rbbp4;Dtd1;Cacnb2;Ifit3;Strbp;Krt18;Aldoa;Fibin;Igsf8;Magt1;Mpp2;Cilp2;Gdf15;Axl;Nol3;Nt5c;Idi1;H2afv;Slc4a8;Ddit4;Pkd1,2.6301369863013697,6,14.040098022547236,5.645056066946871,13.0
GLI2 (human),78,Kcnb1;Lrrc20;Dusp8;Pacsin2;Kcna2;Lrrc17;Ndst3;Zbtb16;Cdc25b;Npas2;Foxo3;Hsp90b1;Jam2;Slc16a4;Ntrk3;Cirbp;Actn2;Mfsd10;Mapk12;Scn2b;Tspan4;Cd14;Id1;Per1;Tcap;Cct7;Plvap;Prdm6;Slc1a4;Proca1;Asb10;Eef2k;Acaa2;Pik3r3;Isoc1;H1fx;Eepd1;Trib2;Cck;Tef;Cd9;Fam120c;Plk3;Nr1d2;Gja4;Tle6;Dgkg;Plxnd1;Stox2;Kcnab1;Kremen1;Erf;Insig1;Abhd11;Serpini1;Itpr2;Selenbp1;Smpdl3b;Slc24a4;Hsbp1l1;Pdcd10;Arrdc2;Gadd45g;Crhr2;Gng10;Dpf1;Hist3h2a;Serp2;Tgfb1;Cdk2ap1;Nol3;Dock10;Ephx1;Smad7;Sdcbp;Dbp;Wee1;Palld,2.6153846153846154,5,11.607141083445757,6.050399119285622,11.0
