gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Arhgap39	0.1999999999999999	0.37	0.1999999999999999	0.57	1.0	-2457.522	-2439.094	-2451.333	-2445.616	0.0	-5.1707125	-12.500470378464367	5.789214084268297	0.05390666905059896	603
Rps19	0.39	0.47	0.39	0.63	1.0	-36467.98	-36150.973	-36420.094	-36215.72	0.0	-109.55587	-6.551277077349774	0.38105403558055073	0.9964241015555159	11146
D030068K23Rik	0.38	0.29	0.29	0.61	1.0	-179.99681	-179.60466	-179.6283	-179.92221	0.0	-0.032398462	-15.918814843720678	4.243753348559227	0.001519756838905775	17
Gm32014	0.36	0.45	0.36	0.62	1.0	-121.92262	-120.55418	-121.5552	-120.84153	0.0	-0.46951264	-16.231363062340918	0.2175191088858206	0.0012515644555694619	14
Kcnip2	0.31	0.28	0.28	0.55	1.0	-75.497795	-74.20668	-75.32956	-73.98161	0.0	-0.65846944	-16.86584410091611	1.0441166388776253	0.0008045771500089397	9
Hinfp	0.39	0.49	0.39	0.57	1.0	-2964.956	-2944.6782	-2970.445	-2941.8684	0.0	-10.026837	-12.16823691934502	6.255137789448677	0.06999821205077776	783
Gm44421	0.08	0.45	0.08	0.59	1.0	-1043.4872	-1039.0914	-1042.3076	-1043.7332	0.0	0.106824145	-13.689747141986613	2.998455439687209	0.018058287144645094	202
Gm26575	0.14	0.1899999999999999	0.14	0.69	0.93	-88.68644	-87.56093	-89.386314	-86.91394	0.0	-0.76978654	-16.770644883114816	5.696105663653814	0.0009833720722331487	11
Ocstamp	0.4599999999999999	0.29	0.29	0.61	1.0	-10.648259	-10.524635	-10.573656	-10.601193	0.0	-0.020440388	-19.021112797130904	1.4610274031582842	8.939746111210442e-05	1
Atcayos	0.37	0.15	0.15	0.53	1.0	-8377.219	-8360.143	-8373.761	-8367.141	0.0	-4.376874	-10.663810187016553	1.2713359596029807	0.2580010727695333	2886
Ankrd45	0.3399999999999999	0.41	0.3399999999999999	0.52	1.0	-2213.1135	-2200.5156	-2207.023	-2207.2793	0.0	-2.5337732	-12.614398089661794	5.6310563049441935	0.046039692472733776	515
Spred2	0.27	0.28	0.27	0.68	0.9599999999999996	-6125.6343	-6088.2266	-6116.8745	-6098.3994	0.0	-11.8279505	-11.109896750935725	1.95186267407309	0.18246021812980512	2041
Col6a4	0.4	0.24	0.24	0.6	1.0	-18.192518	-18.190327	-18.492304	-17.780634	0.0	-0.17887908	-18.34980046599668	4.861082681231383	8.939746111210442e-05	1
Prrt4	0.32	0.24	0.24	0.73	0.8099999999999999	-27.401981	-27.707388	-26.678797	-28.521338	1.0	0.4861302	-17.93190121789092	1.958784710785726	0.00026819238333631326	3
Hcar2	0.49	0.36	0.36	0.59	1.0	-12.903097	-12.696843	-13.05007	-12.56481	0.0	-0.14691633	-18.97138902824589	4.850249465533745	8.939746111210442e-05	1
Zfp747	0.48	0.37	0.37	0.53	1.0	-2590.1323	-2565.7227	-2581.9739	-2570.0767	0.0	-8.710064	-12.375747686036643	4.581893241227804	0.05837654210620418	653
Psmd13	0.35	0.4	0.35	0.47	1.0	-15958.706	-15839.528	-15960.159	-15850.305	0.0	-47.078114	-9.268603567057857	2.747654266035771	0.7158948685857321	8008
Gm13749	0.21	0.44	0.21	0.48	1.0	-18.92245	-19.691051	-19.69284	-18.955648	0.0	0.014418277	-18.320887401894936	3.0191407741540477	0.00017879492222420883	2
Tspan3	0.4599999999999999	0.36	0.36	0.61	1.0	-19088.543	-18907.766	-19075.49	-18916.465	0.0	-74.73258	-8.837870897940023	1.2283003690527456	0.8190595387091006	9162
Gm10767	0.45	0.3199999999999999	0.3199999999999999	0.56	1.0	-467.3003	-462.48517	-464.09366	-465.29474	0.0	-0.8710011	-14.658204946835784	4.491056643875583	0.0067942070445199355	76
Arnt	0.4399999999999999	0.39	0.39	0.49	1.0	-8254.917	-8236.263	-8256.144	-8233.927	0.0	-9.115943	-10.612215844085716	4.964552665770089	0.27945646343643843	3126
Mgme1	0.2299999999999999	0.42	0.2299999999999999	0.65	1.0	-4279.8745	-4255.982	-4275.7817	-4261.6953	0.0	-7.895126	-11.661215547776969	6.053097210600227	0.11129983908457	1245
Mthfr	0.0699999999999999	0.04	0.04	0.83	0.51	-4164.8306	-4202.4824	-4157.845	-4235.2695	1.0	30.591253	-11.789232730854865	5.35221407337491	0.10995887716788844	1230
Rab11a	0.32	0.34	0.32	0.63	1.0	-13087.309	-12978.469	-13014.927	-13056.614	0.0	-13.33038	-9.732978774490952	2.1181117520150785	0.5408546397282317	6050
Ankrd28	0.4	0.28	0.28	0.56	1.0	-3936.1802	-3901.343	-3926.849	-3915.8042	0.0	-8.8491745	-11.770952043254383	2.244564667465072	0.10039334882889325	1123
Pop7	0.22	0.36	0.22	0.57	1.0	-7374.418	-7315.072	-7356.091	-7331.9375	0.0	-18.449034	-10.815455000658245	2.6236258694238597	0.24834614696942606	2778
Xirp1	0.27	0.0799999999999999	0.0799999999999999	0.73	0.8099999999999999	-12589.812	-12599.357	-12439.748	-12804.854	1.0	93.39155	-10.046586857620376	5.104133301370063	0.39200786697657786	4385
Mafa	0.12	0.2099999999999999	0.12	0.53	1.0	-1411.0698	-1407.446	-1408.2468	-1414.269	0.0	1.389403	-13.194235811918006	5.605215653703314	0.026372251028070802	295
Ado	0.37	0.45	0.37	0.5	1.0	-6485.949	-6439.1787	-6470.6367	-6453.3135	0.0	-14.173523	-11.006563025044894	2.6478390102465084	0.20820668693009117	2329
Snrnp48	0.16	0.4599999999999999	0.16	0.63	1.0	-12981.138	-12911.597	-12947.659	-12931.166	0.0	-21.702425	-9.807649152596422	6.246821748128139	0.5177900947613088	5792
Cdk6	0.26	0.16	0.16	0.54	1.0	-8939.099	-8938.352	-8956.51	-8928.399	0.0	-4.6466117	-10.489388686188502	5.192883767073393	0.2934918648310388	3283
Pmpcb	0.48	0.48	0.48	0.56	1.0	-12298.678	-12259.042	-12290.896	-12268.584	0.0	-13.06955	-9.885579820187807	0.7652993682385043	0.5053638476667263	5653
Gm50136	0.4	0.12	0.12	0.71	0.87	-88.16456	-88.76346	-87.32891	-89.20822	1.0	0.45325708	-16.764968450827862	4.607318780572488	0.0009833720722331487	11
Aatk	0.44	0.38	0.38	0.58	1.0	-1301.659	-1296.5004	-1300.1152	-1297.64	0.0	-1.7454481	-13.267111798911111	2.501824630896491	0.024584301805828716	275
Cct6a	0.36	0.27	0.27	0.6	1.0	-18803.01	-18617.754	-18738.32	-18672.451	0.0	-56.700874	-8.877095740931509	5.1806611947883265	0.8117289468979081	9080
Papss1	0.4	0.36	0.36	0.64	1.0	-9965.481	-9860.666	-9929.014	-9897.54	0.0	-29.506577	-10.288487697197924	1.0753208450182514	0.37323440014303594	4175
Gm43727	0.43	0.15	0.15	0.71	0.87	-211.04294	-209.85002	-209.3908	-211.63974	0.0	0.2591877	-15.745314191372016	4.462533648357887	0.002592526372251028	29
Nkain2	0.28	0.25	0.25	0.71	0.87	-585.7838	-587.47546	-585.6176	-587.7607	1.0	0.85854274	-14.298272797575143	0.7898300883240239	0.009029143572322547	101
Jakmip2	0.25	0.16	0.16	0.67	0.9899999999999998	-26.487741	-27.104193	-26.08498	-27.456884	1.0	0.4208934	-17.94447519416818	0.8702516523787613	0.00017879492222420883	2
Rnf4	0.4599999999999999	0.47	0.4599999999999999	0.58	1.0	-8792.92	-8737.951	-8783.07	-8763.643	0.0	-12.714989	-10.506405144088248	6.100346410951069	0.3094940103701055	3462
Vps29	0.48	0.42	0.42	0.42	1.0	-17088.48	-16911.898	-16975.4	-17032.676	0.0	-24.235668	-9.134867009943662	1.775335031992606	0.7531736098694797	8425
Crnde	0.44	0.1099999999999999	0.1099999999999999	0.68	0.9599999999999996	-497.40826	-495.0128	-495.063	-497.99023	0.0	0.25274646	-14.590508447461504	4.494672703943791	0.0067048095834078315	75
Agpat5	0.44	0.32	0.32	0.62	1.0	-11436.076	-11362.631	-11405.426	-11388.651	0.0	-20.59633	-10.020694678565857	1.6851540676203944	0.4330413016270338	4844
