gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
Gm13446,5.23,1.3703,2.97,-13.0458
Gm13483,18.15,4.7523,3.85,-13.5469
Gm13861,14.69,3.8465,7.73,-10.1624
Gm13889,4.72,1.2349,96.97,-8.2915
Gm15417,7.23,1.8927,42.24,-9.9315
Gm15972,11.09,2.9043,4.93,-13.5838
Gm16124,3.58,0.9373,10.04,-11.2513
Gm16845,4.33,1.1323,2.48,-13.2092
Gm17167,11.29,2.9568,7.82,-11.8765
Gm19689,1.13,0.2963,7.05,-13.6317
Gm20632,8.75,2.2896,12.62,-13.3922
Gm21860,11.88,3.1097,9.04,-12.1714
Gm26532,12.38,3.2407,10.26,-10.6379
Gm32817,3.16,0.8261,17.57,-11.8341
Gm3336,19.91,5.2119,6.2,-13.1187
Gm34030,6.93,1.8134,37.41,-12.4234
Gm34471,23.68,6.1993,10.86,-13.7133
Gm41724,1.68,0.4408,27.85,-12.5288
Gm45051,13.48,3.529,2.7,-12.7166
Gm45076,0.35,0.0904,2.64,-13.0576
Gm47283,16.37,4.2864,203.81,-9.632
Gm47664,14.88,3.8967,19.3,-12.6592
Gm4876,3.38,0.8846,55.63,-11.3355
Gm48882,5.99,1.5673,18.24,-12.3543
Gm49708,8.9,2.3305,32.75,-10.334
Gm5144,18.2,4.7643,4.9,-13.7302
Gm5860,5.55,1.4523,17.84,-12.4863
Gm5914,6.09,1.5953,12.3,-12.2216
Gm830,0.09,0.0233,37.57,-10.9726
Gm9885,1.65,0.433,24.27,-10.9305
Gmpr,10.87,2.8456,5.56,-11.3013
Gnb2,6.43,1.6843,25.42,-8.224
Gng11,8.01,2.096,4.87,-9.4871
Gpcpd1,8.96,2.3458,77.62,-10.4542
Gpr146,7.11,1.8619,156.58,-11.431
Gprasp1,21.41,5.6053,33.12,-10.3433
Gramd4,0.03,0.0068,6.87,-13.1167
Grap,2.98,0.779,17.79,-12.6453
Grem2,1.49,0.3907,146.02,-11.2332
Grip2,22.3,5.8372,71.72,-10.6101
Grk5,23.76,6.2209,45.63,-11.0549
Grtp1,8.42,2.2055,11.77,-11.9327
Gsap,9.84,2.5759,2.87,-13.1442
Gsto1,11.57,3.0303,8.49,-10.6437
Gstt1,17.82,4.6654,144.65,-9.6682
Gstt2,10.28,2.6918,7.77,-11.0987
Gtf2ird1,1.31,0.3431,4.91,-11.6054
Gtpbp1,16.26,4.2568,2.7,-11.4662
H2-T22,11.37,2.9778,9.77,-10.9559
H3f3b,8.65,2.2659,305.71,-7.1575
Haghl,8.75,2.2914,3.94,-10.6944
Hand2os1,4.87,1.2753,13.32,-11.7156
Hapln1,13.31,3.484,6.71,-11.8815
Haus8,19.81,5.1855,111.06,-10.1524
Hbb-bs,6.01,1.574,2515.09,-11.1731
Hbp1,7.84,2.0521,3.04,-9.9129
Hdac4,17.51,4.5839,2.75,-10.6806
Hdac5,19.2,5.0259,2.46,-9.8519
Hddc2,8.37,2.19,4.06,-10.7899
Hebp2,6.3,1.6482,29.48,-12.0005
Hes1,9.82,2.57,24.03,-9.5065
Hes6,6.21,1.6266,58.35,-11.0723
Higd1a,15.2,3.9804,358.13,-7.9524
Hilpda,5.09,1.3332,32.63,-11.3596
Hipk3,20.52,5.3724,29.29,-9.4326
Hist2h3c2,19.82,5.1878,12.48,-12.8986
Hk2,14.0,3.6642,26.15,-10.0086
Hlf,12.52,3.2765,1150.62,-10.2519
Hmgb3,6.88,1.8013,72.49,-11.4881
Hmgcs1,18.43,4.8255,42.93,-9.9248
Hmgcs2,11.28,2.9535,91.85,-9.893
Hnmt,7.85,2.0563,2.51,-11.8015
Hnrnpk,5.02,1.3152,28.44,-8.1426
Hnrnpl,3.65,0.9544,24.83,-9.3943
Homer1,16.37,4.2861,10.43,-11.5111
Hoxaas2,4.7,1.2304,5.29,-11.6442
Hoxb8,17.88,4.6797,2.86,-11.7012
Hoxb9,16.19,4.2377,3.36,-13.3528
Hr,7.53,1.9701,43.58,-11.1981
Hsp90aa1,20.18,5.2838,826.83,-7.1533
Hsp90b1,1.38,0.3609,5.72,-7.668
Hspa1a,20.99,5.4959,2998.02,-7.9731
Hspa1b,20.99,5.4951,2545.22,-8.7799
Hspa1l,20.26,5.3034,15.14,-11.5773
Hspa2,17.68,4.6276,11.83,-9.3224
Hspa4l,19.17,5.019,89.56,-10.3088
Hspa5,22.8,5.9698,116.64,-7.747
Hspa8,20.37,5.333,1264.55,-6.4861
Hspb6,9.09,2.3804,7.65,-8.8569
Hspb7,10.66,2.7916,803.35,-8.5035
Hsph1,20.77,5.4367,959.63,-9.0312
Htr1b,17.3,4.5281,35.46,-9.8982
Htr2a,22.76,5.9574,7.08,-11.9451
Htra3,4.98,1.3037,63.76,-9.4207
Htra4,10.98,2.8742,7.64,-12.705
Idi1,17.72,4.6379,103.05,-10.4581
Ier5,23.68,6.1987,119.74,-9.6175
Ifi27l2b,8.54,2.2347,13.27,-13.6308
Ifi30,9.03,2.3644,2.35,-10.2322
Ifit3,14.48,3.7922,319.61,-12.26
Ifit3b,14.75,3.8607,143.35,-13.165
Ifitm3,9.47,2.4791,63.61,-8.5009
Igf1,0.68,0.1771,20.1,-11.6293
Igfbp2,8.98,2.352,192.8,-10.6757
Igfbp5,13.08,3.4247,153.71,-9.3425
Igsf8,13.82,3.6186,11.33,-9.9936
Ihh,23.32,6.1053,13.16,-12.4541
Iigp1,6.88,1.8,24.58,-11.5939
Il15ra,6.45,1.6895,16.85,-12.362
Il16,9.84,2.5761,4.41,-12.4662
Il33,13.8,3.6117,14.7,-13.5301
Il6ra,2.75,0.7193,16.1,-13.155
Impa2,5.22,1.3664,7.76,-12.2658
Inhbb,21.37,5.5951,6.35,-12.9506
Inpp5b,0.76,0.1992,2.37,-11.4817
Irs2,15.39,4.0294,135.88,-9.9091
Itga10,2.39,0.626,12.6,-11.5795
Itgbl1,1.38,0.3601,39.15,-8.7639
Itih4,23.15,6.0605,13.77,-8.9262
Itprip,12.44,3.2578,8.33,-12.1
Jam2,16.81,4.4018,53.19,-12.3131
Jdp2,18.33,4.8,7.67,-11.3337
Kalrn,1.05,0.2748,3.72,-10.2302
Kank4,19.8,5.1837,6.61,-12.1506
Kbtbd13,20.96,5.4873,2.05,-13.6485
Kcna2,4.12,1.0782,23.19,-13.5313
