tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
Nkx3-2 (mouse),36,Ngef;Pkig;Hsph1;Kcna2;Foxp1;Lix1;Kcnd3;Tnfrsf21;Bicd2;Ntn4;Aimp2;Net1;Cend1;Apobec2;Ptprd;Acy1;Cct3;Rcl1;Htra3;Bmp3;Cdc42se1;Alcam;Tead1;Hipk3;Cfl1;Mfap2;Fggy;Col27a1;Cacng7;Abra;Maged2;Slc35e1;Zdhhc20;Casq1;Usp42;Sh3kbp1,2.3333333333333335,5,14.73737816411219,6.668048061059672,11.0
FOXF2 (human),36,Tmem82;Lsm11;Alkbh7;Aaas;Sphk2;Tspo;Tardbp;Rnft1;Leo1;Tspan15;Fam76a;Cela1;Actr3b;Ufc1;Capg;Pak6;Gnb2;Prodh;Myocd;Gpcpd1;Samhd1;Wsb1;Afap1;Nr1d1;Prr13;H3f3b;Ldlr;Efhc2;Phactr4;Hdac5;Tulp1;Rhebl1;Nceh1;Tmed4;Stil;Hebp2,2.3333333333333335,4,5.282848981957082,6.812522532595157,9.0
PURA (human),31,Xpa;Cmklr1;Fxyd5;Mecom;Slmap;Rspo3;Cacnb2;Gstt1;Adamts6;Tub;Cela1;Tm4sf1;Rin3;Tifa;Cmbl;Myl12a;Tspan5;Tsc22d1;Mlf1;Tppp3;Arhgef3;Sh3kbp1;Nav2;Rbm24;Pmf1;Lasp1;Dapk1;Lnx1;Spry1;Lama4;Acan,2.3225806451612905,4,9.796878826674392,8.436576061072603,9.0
TBX5 (mouse),83,Mmp14;Bhlhe41;Adam19;Bik;Mpv17l2;Npas2;Tnfrsf1a;Trim58;Fam76a;Rin3;Epas1;Aimp2;Arhgef2;Pck2;Capg;Wdfy3;Pkdcc;Tnfaip6;Dapk1;Hnrnpk;Tef;Nr1d1;Nr1d2;Trp53inp1;Btg1;Phf2;Psat1;Kbtbd13;Dnajb4;Phactr3;Gal3st3;Tpx2;Trpm3;Tlr2;Cbr2;Gabre;Lox;Hes6;Vps37b;Nox4;Nanos1;Lrg1;Fam13a;Me3;Tm4sf1;Anln;Pdzrn4;Tor1aip2;Stk17b;Fkbp11;Slc43a3;Klhl38;Capn3;Creb5;Lama4;Pip4k2a;Fzd8;Prr13;Tril;Anxa3;Fmo2;Cyp51;Kctd12b;Ankrd37;Erh;Serpini1;Mustn1;Rnf24;Prr5l;Opa3;Lman2l;Inpp5b;Tppp3;Ttpal;Zfp36l2;Car11;Nr4a2;Sh3kbp1;Ect2l;Hspb7;Mospd2;Palld;Polg,2.313253012048193,5,13.25191497021779,7.606211914580616,11.0
POU1F1 (human),52,Eml4;As3mt;Mecom;Fam13c;Fam13a;Ogn;Bend4;Upp2;Chordc1;Pla2g4a;Igf1;Rgl1;Art4;Tor1aip2;Phgdh;Ano4;Filip1l;Vcam1;Arhgef19;Creb5;Cnrip1;Asb5;Asb4;Trim2;Cdkn2c;Fmo2;Msrb2;Glt8d2;Tceal1;Stox2;Lsm6;Rcan1;Rcan2;C1qtnf7;Ptpn13;Dnajb4;Phactr4;Asph;Pln;Spats2l;Gng11;Mlf1;Fibin;Parp8;Mapre2;Arid5b;Sh3kbp1;Lpl;Plaur;Palld;Spry1;Arhgdib,2.307692307692308,8,17.804892143696037,6.792232646032599,17.0
MYB (human),42,Nmt2;Gsto1;Ptgs2;Upp2;Itgbl1;Alpk1;Epb41;Chordc1;Igf1;Ifi30;Ano4;Enpp4;Ypel2;Capn3;Vcan;Ddx17;Sytl5;Fmo2;Sulf1;Dhrs9;Map1b;Tap2;Tceal1;Glt8d2;Lsm6;C1qtnf7;Ndp;Dnajb4;Phactr4;Limch1;Clec2d;Pln;Ifitm3;Maged2;Trpm3;Vldlr;Parp8;Pde7a;Rai14;Chrna1;Mospd2;Palld,2.2857142857142856,0,20.9499078659446,7.8191803236258135,1.0
CREM (human),37,Rev1;Orai1;Gtpbp1;Slc6a6;Jdp2;Btg1;Tead1;Lyst;Gk;Tardbp;Odc1;Nfe2l2;Pomt2;Pmvk;Ccdc85b;Nagk;Hdac5;Hdac4;Slc12a2;Apcdd1;Myl12a;Rgl1;Tfap4;Sync;Sec14l1;Zfr;Slc43a3;Zdhhc20;Tgfb3;Rasd2;Capn3;Nr4a3;Usp54;Nr4a1;Nav2;Ddx17;Lnx1,2.2702702702702706,10,17.57538579283828,5.443936438395996,21.0
MYOD1 (mouse),101,Optc;Orai1;Ppfibp2;Alkbh7;Bhlhe40;Mecom;Npas2;Npas4;Kcnd3;Trim62;Trim58;Tnfrsf25;Fam76a;Rin3;Fam78b;Arhgef2;Capg;Mmgt1;Ypel2;Wdfy3;Htra3;Higd1a;Nrtn;Tnfaip8;Cry2;Tef;Cd9;Gtpbp1;St3gal5;Plin4;Tmem229b;Angptl2;Phf2;Adamtsl5;Slco2a1;Usp2;Mamstr;N6amt1;Mfap2;Phactr3;Tppp;Col27a1;Ralgapa2;Wdr95;Polr2h;Aqp1;Klhdc8b;Slc35e1;Limd1;Zfp809;Cbr2;Sipa1l3;Wnt5b;Itprip;Efna5;Rasd2;Pmf1;Rfx2;Pdxk;Cldn3;Lats2;Meaf6;Tmem98;Arf5;Lix1;Rnaseh2b;Cdc42ep3;Pim3;Dbf4;Ppm1n;Ncoa5;Pdzrn4;Fkbp10;Crim1;Klhl38;Pak6;Arhgef19;Bmp3;Mthfr;Ptp4a3;Eln;Col4a3;Impa2;Plcl1;Zyx;Slc24a4;Sost;Pfn1;Spats2l;Stc1;Stc2;S1pr3;Dnajc12;Dock8;Sel1l3;Nr4a1;Cobll1;Cmtm8;Hspa2;Hebp2;Pkd1,2.2574257425742577,8,13.481375869109833,6.9581237064676404,17.0
ZNF354C (human),48,Ngef;Pdgfb;Fxyd5;Tmem26;Egln3;Bik;Zbtb16;Leo1;Stk24;St6galnac4;Fam13c;Hnmt;Pim3;Fuz;Htr2a;Fam76a;Mfsd10;Igf1;Tspan4;Pdzrn4;Diras2;Amotl2;Klhl38;Ihh;Hmgb3;Lasp1;Lnx1;Rbm28;Cck;Smc2;Phf19;Ckm;Cdh3;Ppef1;Cacnb2;Ptpn21;Phactr3;Tppp;Rangap1;P2rx5;Stk32b;Klhdc8b;Tmem136;Dnajc12;Hspb6;Il15ra;Hlf;Usp10,2.25,4,7.093261494908384,7.442240825889013,9.0
USF1 (mouse),54,Upb1;Klf15;Wtip;Bik;Cdc25b;Osgin1;Tnfrsf21;Trim58;Kcnk1;Crybg3;Ccdc85a;Unc5b;Kdelr3;Upp2;Tmem86a;Igf1;Akr1c14;Cend1;Ncoa5;Stk17b;Fkbp11;Osr1;Trp53;Ppfia4;Srebf2;Uba2;Tmsb15b1;S100b;Usf1;Hspa1l;Tef;Hspa1a;Asb2;Hspa4l;Anxa3;Col4a3;Ckm;Tap2;Zfp580;Lancl3;Dnajb4;Dnaja4;Cacng7;Akap5;Klhdc8b;Maged2;Nln;Fubp1;Krt18;Zdhhc12;Tgfb2;Rasd2;Usp53;Il15ra,2.2222222222222223,9,7.402965734196904,8.681099725706433,19.0
