gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
Atn1,-288.09827395483535,-272.7171182145998,False
Atoh8,-455.2967267665788,-446.87456187136775,False
Atox1,-289.3582628229596,-253.4498912681852,False
Atp11b,-260.2249713554652,-255.3655238586358,False
Atp13a3,-278.044506162447,-270.79412143606015,False
Atp1a1,-311.63180267532016,-285.42413739163226,False
Atp1a2,-250.1157286690077,-301.9087250231557,False
Atp1b2,-266.0591150638253,-287.82344432441846,False
Atp1b3,-267.0973245640778,-258.0727312542921,False
Atp2a2,-274.38192071002237,-252.7731775329658,False
Atp2b1,-251.9031723957274,-255.3468999877349,False
Atp2b4,-311.8453392220417,-273.49181565306026,False
Atp5a1,-248.08052417775178,-248.91888467574728,False
Atp5b,-256.50223110618947,-258.66624539590055,False
Atp5c1,-264.96055609556373,-245.30280848355233,False
Atp5d,-256.2735852272327,-260.3622641917052,False
Atp5e,-269.2246523807189,-258.3333631891729,False
Atp5f1,-249.40699894789424,-237.67992213301278,False
Atp5g1,-276.0446387671003,-262.96854721596554,False
Atp5g2,-262.92631802644246,-247.12013352448662,False
Atp5g3,-262.7725411776831,-235.40691248100597,False
Atp5h,-280.485906162153,-265.28568058286095,False
Atp5j,-276.3809547715159,-265.3062754785975,False
Atp5j2,-295.6010590437472,-253.3422546275611,False
Atp5k,-284.93648682166946,-242.76957870786325,True
Atp5l,-248.05506950326532,-245.7708040670336,False
Atp5md,-283.3879902489995,-254.14564119571452,False
Atp5mpl,-276.40854238074274,-270.82488249501966,False
Atp5o,-269.0883068538458,-277.62288226087986,False
Atp6ap1,-246.3811228834781,-251.3919385324264,False
Atp6ap2,-273.86838510787925,-233.78002957676838,False
Atp6v0a1,-290.7223766122286,-280.54649376344594,False
Atp6v0b,-265.2423883081174,-286.1083526565608,False
Atp6v0c,-246.03771290600002,-250.34649194219202,False
Atp6v0d1,-253.13707904638193,-242.21487661905007,False
Atp6v0e,-260.3282878781552,-253.32267244302187,False
Atp6v1a,-271.9784001406296,-273.13514236436356,False
Atp6v1c1,-258.7055891859704,-261.73503163267054,False
Atp6v1d,-244.40753634451582,-251.3107590461629,False
Atp6v1e1,-267.83958245049564,-277.1222203920934,False
Atp6v1f,-246.39725452195742,-258.3259521516346,False
Atp6v1g1,-271.51223310409534,-261.35087462707077,False
Atp6v1h,-266.31551188402426,-261.10780236681995,False
Atp8b1,-270.34812883996653,-245.40600948716315,False
Atpif1,-280.84250059538107,-272.97325670024134,False
Atraid,-246.37069406080553,-250.42485423435008,False
Atrx,-259.0177332125808,-266.8004092541475,False
Atxn1,-254.2470290030471,-274.71034906899513,False
Atxn10,-257.2888816685929,-276.1581409055339,False
Atxn2,-274.78955865031764,-272.2181450541358,False
Atxn2l,-300.50831980248984,-258.594910896896,False
Atxn7l3b,-257.5188321997173,-259.86327632800135,False
Auh,-248.97274072386605,-233.27752358000888,False
Aup1,-262.1836176173422,-253.04612544248167,False
Aurkaip1,-253.1875616143621,-253.07185177113803,False
Auts2,-297.164429661505,-261.7070620544077,False
Avpi1,-255.4827776627037,-262.24379059470766,False
Axl,-251.1184579542827,-286.95860718730535,False
Azi2,-246.26126355870915,-245.16995135151922,False
Azin1,-292.26208758683043,-259.85326904863825,False
B230118H07Rik,-254.4290651045623,-261.17029619681097,False
B230219D22Rik,-254.30139738798312,-246.79229491994036,False
B2m,-272.7434065074001,-288.19896501342197,False
B3galnt2,-268.1240466725996,-272.53631010773506,False
B3galt1,-253.4574804235231,-251.81430131663265,False
B3gat3,-261.2130007649951,-313.2166871805574,False
B3glct,-273.7151807713778,-266.66581045498566,False
B3gnt2,-291.77704027501915,-310.8554303067805,False
B4galt1,-302.71106998468406,-296.0849272286041,False
B4gat1,-292.67981556249583,-256.73922800075326,False
BC003965,-263.7558024419365,-265.67447258682364,False
BC004004,-243.76444258792026,-257.1634785258648,False
BC005537,-258.0379480586857,-263.92487133718265,False
BC005561,-244.6045145493685,-265.7097456541524,False
BC005624,-254.80587962205513,-250.3309955308646,False
BC031181,-269.31725983830086,-266.03396430484247,False
Babam1,-258.5310043795827,-262.8614594660569,False
