gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Gm32255	0.4499999999999999	0.26	0.26	0.66	1.0	-17.465462	-17.922777	-17.324848	-18.06698	1.0	0.26123622	-17.24261577897809	1.4011990277262685	0.00031746031746031746	1
Lipt1	0.47	0.26	0.26	0.66	1.0	-718.82166	-703.44385	-706.48035	-715.51135	0.0	-1.4376462	-12.633491133572068	4.807455346204405	0.05682539682539683	179
Cxcl16	0.43	0.37	0.37	0.62	1.0	-557.15857	-551.76843	-555.4928	-553.1008	0.0	-1.7622538	-12.924105451667515	1.1954016086509576	0.04158730158730159	131
Samd1	0.46	0.26	0.26	0.54	1.0	-1531.649	-1518.754	-1530.0656	-1519.8381	0.0	-5.129414	-11.473466849700344	4.498199405955519	0.15873015873015872	500
Noc3l	0.29	0.47	0.29	0.58	1.0	-1675.998	-1658.3069	-1673.7086	-1660.1637	0.0	-6.876771	-11.328547750394826	0.38207606198958466	0.17365079365079364	547
Gm4737	0.47	0.38	0.38	0.61	1.0	-31.888416	-30.898777	-32.0157	-30.662039	0.0	-0.532609	-16.53533972697423	4.5456099786204565	0.0012698412698412698	4
Gm16575	0.31	0.4	0.31	0.63	1.0	-15.328865	-16.31687	-15.947795	-15.5192585	0.37355575	0.08268682	-17.231845106586178	3.079056939123997	0.0006349206349206349	2
Stat1	0.3199999999999999	0.44	0.3199999999999999	0.49	1.0	-1663.777	-1623.6135	-1656.0791	-1630.6023	0.0	-14.407581	-11.364449916723865	0.23313701379864327	0.1653968253968254	521
5330439A09Rik	0.0999999999999999	0.18	0.0999999999999999	0.58	1.0	-50.74505	-50.873344	-50.18034	-51.399567	1.0	0.2842536	-15.944274184404463	0.5922624099272031	0.0022222222222222222	7
Acad8	0.48	0.26	0.26	0.66	1.0	-2013.0208	-1970.0237	-2014.0668	-1974.0326	0.0	-16.932343	-11.086505704970861	4.978609079118371	0.22984126984126985	724
Prr36	0.38	0.27	0.27	0.5	1.0	-24.535728	-24.134336	-24.34462	-24.203266	0.0	-0.14438654	-16.70911452755839	5.177566093333459	0.0009523809523809524	3
