gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
C1qtnf1,-3.258481,0.07591671,-7.599093,-5.3901925,0.0981366459627329,0.0859213250517598,0.0770186335403726,0.074223602484472
C1qtnf12,-19.979242,-22.660078,-23.364958,-12.776485,0.287888198757764,0.2993788819875776,0.2662525879917184,0.2990683229813665
C1qtnf2,-19.300234,-22.245716,-30.522758,-39.95976,0.4662525879917184,0.475879917184265,0.5247412008281573,0.5488612836438923
C1qtnf3,-0.2280384,-1.1665899,0.18517207,4.3337135,0.0008281573498964,0.0015527950310559,0.000103519668737,0.0009316770186335
C1qtnf4,-12.117834,-7.70104,-3.6302183,-3.58558,0.0350931677018633,0.0279503105590062,0.0315734989648033,0.0232919254658385
C1qtnf6,-40.59169,7.726328,-8.919365,-10.497288,0.2175983436853002,0.1944099378881987,0.1830227743271221,0.2169772256728778
C1qtnf7,-5.58624,14.435202,-17.454481,6.9595265,0.0972049689440993,0.115631469979296,0.1963768115942029,0.2064182194616977
C1ra,-7.1749773,-15.247171,-11.69287,-14.182641,0.10527950310559,0.0808488612836439,0.1280538302277432,0.1214285714285714
C1rl,-6.844379,-3.9275234,-8.660761,-2.921309,0.0437888198757763,0.0322981366459627,0.0481366459627329,0.0458592132505175
C1s1,-37.771744,-13.072518,-24.843637,-13.676035,0.1060041407867494,0.0675983436853002,0.1404761904761904,0.1232919254658385
C2,5.9038496,-2.9002092,2.5485113,-3.3036492,0.0060041407867494,0.0053830227743271,0.0062111801242236,0.0082815734989648
C230013L11Rik,0.47532767,-2.3472683,-1.8769505,-1.4255059,0.0116977225672877,0.0120082815734989,0.0105590062111801,0.0102484472049689
C230034O21Rik,-0.7864629,-0.545214,0.9893526,0.05877647,0.0016563146997929,0.0012422360248447,0.0011387163561076,0.0008281573498964
C230035I16Rik,-2.9850059,-1.9194549,-2.935623,-0.41693223,0.0049689440993788,0.0042443064182194,0.0040372670807453,0.0054865424430641
C230037L18Rik,-0.3352237,-1.571004,-0.50228554,-0.2158749,0.0056935817805383,0.0064182194616977,0.0092132505175983,0.0099378881987577
C230066G23Rik,3.1464415,1.3089602,-0.29731837,0.24299593,0.0009316770186335,0.0015527950310559,0.0006211180124223,0.0002070393374741
C2cd2,-16.653751,-12.197991,-25.337309,-17.103739,0.2628364389233954,0.2360248447204969,0.20351966873706,0.2198757763975155
C2cd2l,-7.558166,-10.32181,-9.191965,-8.679634,0.0636645962732919,0.0577639751552795,0.0602484472049689,0.0675983436853002
C2cd3,-0.985963,-6.5644627,-1.9242129,-12.071393,0.0701863354037267,0.0640786749482401,0.0686335403726708,0.0716356107660455
C2cd5,-9.070245,-6.257085,-3.031367,-7.7358704,0.0746376811594203,0.0800207039337474,0.091407867494824,0.0922360248447205
C3,13.001797,-3.3666835,91.2099,1.3217036,0.0098343685300207,0.0085921325051759,0.0123188405797101,0.012215320910973
C330007P06Rik,-50.12793,-18.608288,-50.82984,-15.1316,0.2094202898550724,0.2075569358178053,0.2204968944099379,0.2286749482401656
C330011M18Rik,-4.072041,-7.9885902,-2.555191,-5.1849732,0.0157349896480331,0.0213250517598343,0.0226708074534161,0.027639751552795
C330013E15Rik,0.004135128,-0.6220187,-2.4395134,-7.173758,0.022463768115942,0.0210144927536231,0.0217391304347826,0.0298136645962732
C330018D20Rik,-3.5868526,-5.561005,-8.181722,-4.90511,0.0402691511387163,0.0450310559006211,0.0481366459627329,0.0479296066252587
C3ar1,-0.8124665,-1.3863679,-1.300193,0.5032928,0.0012422360248447,0.001863354037267,0.005175983436853,0.0045548654244306
C430014B12Rik,-1.3622596,-4.3670135,1.2050188,-7.317878,0.0120082815734989,0.0132505175983436,0.0097308488612836,0.013871635610766
C430049B03Rik,0.9381439,-1.5575384,-2.301265,4.0431213,0.0061076604554865,0.0075569358178053,0.0047619047619047,0.0062111801242236
C4b,-0.19313169,-2.36805,14.344547,-4.3349395,0.0093167701863354,0.0062111801242236,0.0189440993788819,0.0093167701863354
C530005A16Rik,-1.4197273,0.88176304,0.9218685,-1.0007805,0.0133540372670807,0.0133540372670807,0.0097308488612836,0.0094202898550724
C530008M17Rik,-3.4836864,-2.5277295,-1.9967368,0.6594469,0.0221532091097308,0.017391304347826,0.0144927536231884,0.0140786749482401
C5ar1,-0.44603056,1.3394104,-0.6763452,-0.43554363,0.0004140786749482,0.0005175983436853,0.0010351966873706,0.0004140786749482
C5ar2,-2.6895032,0.89328045,0.3793715,-1.9277649,0.0066252587991718,0.0055900621118012,0.0092132505175983,0.0071428571428571
C630043F03Rik,2.397367,5.253362,-2.6735194,0.06807057,0.0182194616977225,0.0213250517598343,0.0206004140786749,0.0260869565217391
C7,1.1955557,0.23694152,0.10663859,-0.46606007,0.0042443064182194,0.0015527950310559,0.0049689440993788,0.0011387163561076
C730034F03Rik,-3.087191,-3.5512269,-7.9559865,-3.221901,0.0231884057971014,0.0282608695652173,0.0387163561076604,0.037991718426501
C77080,6.409077,-1.8830206,-5.152794,-3.123347,0.0274327122153209,0.0217391304347826,0.0234989648033126,0.0183229813664596
C78197,0.46308133,-2.0407784,-1.0406209,1.53123,0.0028985507246376,0.0034161490683229,0.0032091097308488,0.0023809523809523
C78859,-1.1332107,-1.5201101,2.9602215,-0.56659204,0.0021739130434782,0.0028985507246376,0.0045548654244306,0.0043478260869565
C87436,-3.5311873,-23.452326,-9.185922,-7.730993,0.1528985507246376,0.1510351966873706,0.143167701863354,0.162111801242236
C8g,-2.301371,2.2893367,-0.40163755,0.72689456,0.0036231884057971,0.0034161490683229,0.0045548654244306,0.0040372670807453
C920021L13Rik,0.99868643,-8.446529,-1.3537773,-4.989827,0.0284679089026915,0.0263975155279503,0.0262939958592132,0.0322981366459627
C9orf72,-4.2098784,-8.156593,-7.17784,-8.031267,0.0805383022774327,0.0760869565217391,0.0709109730848861,0.0773291925465838
CAAA01066123.1,3.0932217,-1.4790239,-2.140194,1.179426,0.0047619047619047,0.0022774327122153,0.0059006211180124,0.0045548654244306
CAAA01118383.1,-16.01164,-10.024186,-9.1085205,-29.218391,0.1562111801242236,0.1610766045548654,0.1456521739130434,0.1737060041407867
CAAA01147332.1,10.163508,-6.7358055,-2.1852562,-5.9225636,0.1348861283643892,0.1296066252587991,0.094824016563147,0.0944099378881987
