ZT,sample,log10_prop
12,113,-4.816630858449522
12,114,-4.982472574406297
12,115,-4.885846878628866
12,116,-4.924665420869602
12,117,-4.826494504317403
12,118,-4.951437803539233
12,119,-4.892527770243982
12,120,-4.936483279726228
12,121,-4.799442188404366
12,122,-4.891623910415103
12,123,-4.851669631351949
12,124,-4.827704717151242
12,125,-4.835697432628985
12,126,-4.809926765724006
12,127,-4.751565199526064
12,128,-4.853476412236452
12,129,-4.804791228994121
12,130,-4.84697321698712
12,131,-4.966659207177078
12,132,-4.707696414811019
12,133,-4.8311638283683545
12,134,-4.719298400522896
12,135,-4.73668841507912
12,136,-4.892574306575248
12,137,-4.8863087550694395
12,138,-4.8190836494426925
12,139,-4.954104634834132
12,140,-4.716872699843605
12,141,-4.932772219649352
12,142,-4.870843046868322
12,143,-4.913930012277405
12,144,-4.749268066078972
12,145,-4.901535478422385
12,146,-4.766850931483496
12,147,-4.866560363287225
12,148,-4.919460325512004
12,149,-4.903347936649896
12,150,-4.819162327582008
12,151,-4.944920750208545
12,152,-4.704137927739533
12,153,-4.923185064856282
12,154,-4.858646460059263
12,155,-4.669240149639041
12,156,-4.854028455612821
12,157,-4.973659058180841
12,158,-4.921170680972358
12,159,-4.99831544593776
12,160,-4.901727614014874
12,161,-4.873609835162942
12,162,-5.022853727078728
12,163,-4.892644848679702
12,164,-4.8319648254707745
12,165,-4.974409361527588
12,166,-4.829469968495164
12,167,-4.842288425529235
12,168,-4.947558211311665
12,169,-4.896428641331956
12,170,-4.625690011388225
12,171,-5.070043802156618
12,172,-4.864847102100136
12,173,-4.8892261047124785
12,174,-4.89869662810471
12,175,-4.784835323619461
12,176,-4.851774505735377
12,177,-4.896106910327038
12,178,-4.901996863124589
12,179,-4.889374386182995
12,180,-4.84531149892198
12,181,-4.817854035294953
12,182,-4.871594423098788
12,183,-4.960348460444652
12,184,-4.814182984840061
12,185,-4.732753703450542
12,186,-4.983139326933511
12,187,-4.857531912690274
12,188,-4.837561210461004
12,189,-4.726137050748038
12,190,-4.929552674425759
12,191,-4.787602111914082
12,192,-4.867048033640518
