gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
POU1F1 (human),11,Mmp13;Mmp12;Cxcl10;Psmg1;Ndufaf4;Cd69;Ccnb1ip1;Havcr2;Sgk1;Hepacam2;Lpl,1.012366,-0.052048,-0.345336,0.25699,0.439229,0.152415,0.784436,-0.573137,-0.822074,-0.30923,0.185957,-0.092448,0.506585
CACYBP (human),10,Tspan4;Rrad;Cd55;Cuedc1;Nr1d1;Nfib;Phyhd1;Lsp1;Runx3;Gdpd3,1.000537,-0.56301,-0.89011,-0.17827,0.437526,0.185735,0.667207,0.009022,-0.309148,0.349669,0.116462,-0.118405,0.346399
CRX (human),9,Rsad1;Ccdc115;Nr1d1;Tk1;Phlpp2;Sema4b;Polr2d;Cd79a;Gdf15,0.995993,-0.197052,-0.553357,0.162156,0.489177,0.137627,0.854807,0.21469,-0.123649,0.511589,-0.506816,-0.820348,-0.138169
TEAD1 (human),6,Cytip;Ifit2;Socs3;Cmpk2;Hist1h1b;Vsig4,0.993915,-0.184938,-0.603636,0.325438,0.084201,-0.266734,0.480788,-0.446589,-0.818456,-0.03059,0.547326,0.132112,0.978109
POU2F1 (human),8,B3galnt1;Cadm1;Il1b;Rgs1;Cdk14;Nfib;Hepacam2;Hist1h1b,0.981512,-0.07244,-0.490275,0.263942,0.345005,-0.029654,0.731408,-0.627039,-0.948666,-0.30755,0.354474,0.066996,0.695265
Sox5 (mouse),6,Gpr141;Zfp202;Ccdc115;Odf2l;Cd209d;Cd209a,0.97297,-0.063494,-0.465541,0.446391,0.374692,-0.09018,0.823699,-0.598278,-1.042767,-0.074508,0.287081,-0.132661,0.664507
GLI2 (human),11,Napsa;Tspan4;Gngt2;Cuedc1;Tef;Nr1d2;Plac8;Gramd3;Phyhd1;Gdpd3;Dbp,0.970368,-0.597545,-0.886747,-0.302088,0.231943,-0.004101,0.489871,0.372823,0.105959,0.618591,-0.007222,-0.272645,0.265358
HOXD9 (human),8,Ndufaf4;Gem;Ccnb1ip1;Cd79a;Napsa;Cxcl10;Cd69;Ahnak,0.966347,-0.046743,-0.361311,0.280808,0.501746,0.17302,0.924477,-0.464601,-0.811975,-0.054629,0.009597,-0.306336,0.373538
AHR (human),8,Bhlhe41;Psmg1;Tspan4;Ube2c;Bccip;Inppl1;Lsp1;Ddit4,0.964094,-0.390516,-0.698096,-0.095852,-0.143776,-0.391338,0.228811,0.573578,0.319779,0.841505,-0.039286,-0.321689,0.374391
CACYBP (mouse),9,Cuedc1;Tef;Nr1d2;Nfib;Cd79a;Gdpd3;B3galnt1;Napsa;Dnase1l3,0.958424,-0.531054,-0.870983,-0.088749,0.42737,0.136076,0.750226,0.005833,-0.299294,0.323431,0.097851,-0.199266,0.447471
