gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
NFAT2 (human),28,Mmp14;Mbd1;F13a1;Ccl7;Ttc39b;Per1;Enpp2;Ccnb1ip1;Rgs7;Trdn;Vcan;Pld1;Cry1;Plac8;Fmo1;Fmo2;Fmo3;Dio2;Esrrg;Kcnj15;Cutc;Hoxa10;Postn;Diaph3;Hspa8;Ncam1;Gap43;Clock,0.49628,-0.326851,-0.629387,-0.092868,0.057656,-0.128738,0.284361,0.169429,-0.056287,0.401545,0.161514,-0.073036,0.448497
MIB2 (human),30,Hsd11b2;Tmem51;Tmem52;Smpd3;Slc27a1;Sh3bp2;Slc9a3r1;Trim67;Tnfrsf25;Ece1;Fndc5;Gspt2;Tspan4;Per1;Taf1c;Bmp4;Wnt2;Spata24;Cntfr;St3gal4;Eln;Fmo3;Gpr146;Aifm3;Fkbp4;Aspa;Lrrn4cl;Dpp4;Camk2b;Rbm3,0.492653,-0.354326,-0.594572,-0.109954,0.020284,-0.232939,0.256112,0.138327,-0.062592,0.353093,0.021139,-0.193425,0.195408
MYC (mouse),39,Hpgd;Bhlhe41;Piwil2;Cbs;Tef;Fkbp5;Pgf;Arrdc4;Magt1;Wee1;Klf11;Klf15;Lefty1;Ky;Cox4i2;Ppp1r1b;Pcsk6;Socs2;Ctsk;Snx8;Per1;Camkk2;Taf1c;Acaa2;A4galt;Pla2g2e;Psrc1;Prdx6;Stmn1;Cyb561;Ankrd12;Efhd1;Inmt;Sord;Itpr3;Manf;Ezr;Fastkd3;Hspa8,0.489499,-0.25538,-0.441555,-0.078055,0.234118,0.048161,0.407202,0.029958,-0.156973,0.205564,-0.050324,-0.274215,0.13415
TCFAP2A (human),34,Prex1;Klf11;Bhlhe41;Slco3a1;Kcna2;Pigz;Sh3bp2;Kcnd3;Hsp90aa1;Lingo1;Cpne7;Egr3;Foxf1;Ppp1r1b;Tspan4;Nfil3;Per3;Per2;Camkk2;Acaa2;Wnt4;Cbs;Cntfr;Nr1d2;Prdx6;Cdh4;Ankrd12;Itpr3;Ezr;Atp1b1;Rasd2;Wee1;Camk2b;Nt5dc2,0.47141,-0.29494,-0.488905,-0.09509,0.17647,-0.014926,0.347961,0.121366,-0.065843,0.331957,-0.078682,-0.292856,0.12669
USF1 (human),47,Larp6;Klf11;Klf15;Hsph1;Bhlhe41;Myoc;Mbd1;Tmem51;Psmb8;Slc27a1;Sh3bp2;Fam13a;Me3;Ece1;Egr3;Ppp1r1b;Per3;Per1;Herpud1;Cd55;Fam174b;Rgs7;Cbs;Tef;Serpine1;St3gal4;Nr1d2;Stmn1;Cyb561;G0s2;Tmem229b;Angptl2;Fkbp5;Igfbp3;Ankrd12;Rhobtb1;Cpt1a;Selenbp1;Dnaja1;Apoc1;Tnnt2;Csf2ra;Aldh3b1;Cxcl2;Wee1;Nt5dc2;Rbm3,0.469164,-0.328856,-0.49026,-0.178068,0.140307,-0.018073,0.316635,-0.017151,-0.177654,0.148338,-0.05928,-0.211745,0.090194
NR3C1 (human),37,Slc27a1;Ccnb1ip1;Cytl1;Dhrs3;Angptl7;Tmem229b;Cdkn1a;Adamtsl2;Aifm3;Fkbp5;Tlr4;Svil;Cst6;Atp1b1;Top1mt;Cldn1;Sncg;Hsd11b2;Cyp2e1;Dbf4;Fhl2;Fndc5;Ppp1r1b;Ctsk;Mmp3;Bmp4;Wnt4;Cntfr;Fmo4;Cacnb4;Notch4;Sema3e;Sost;Ddit4l;Sash1;Slc2a1;Aldh3b1,0.465491,-0.356428,-0.616464,-0.15102,0.109063,-0.092208,0.303942,0.085899,-0.063261,0.244487,-0.01329,-0.163418,0.163897
KLF13 (human),41,Chst1;Hsd11b2;Dgat2;Mbd1;Cdc25b;Cxcl12;S100a4;Rasl11a;Npas2;Sh3bp2;Lepr;Trim67;Egr3;Ppp1r1b;Tspan4;Snx8;Per1;Tcap;Col5a3;Klhl13;Rasgef1b;Trdmt1;Wnt2;Cbs;Clmp;Angptl7;Angptl2;Aifm3;Esrrg;Fam107a;Inmt;Itpr3;Selenbp1;Mab21l2;Uba52;Meox1;Gsta3;Comp;Cabp1;Megf10;Pik3ip1,0.463908,-0.289419,-0.46515,-0.118456,0.156159,-0.042844,0.34486,0.174488,0.028988,0.324192,0.074832,-0.120743,0.267165
USF1 (mouse),23,Ch25h;Klf15;Cdc25b;Spp1;Osgin1;Tmem86a;Cd55;Ifi205;Taf1c;Thrsp;Gfod2;Tef;Hspa4l;Stmn1;Anxa3;Mrap;Pf4;Cacnb4;Aspa;Tlr4;Fastkd3;Magt1;Rasd2,0.460696,-0.325595,-0.622763,-0.08665,0.135101,-0.122853,0.376838,0.019012,-0.212986,0.27178,-0.059181,-0.325163,0.184176
ZFHX3 (human),25,Plscr2;Fabp4;Slc38a1;Fam13a;Cox4i2;Dbf4;Fhl2;Ece1;Slc10a6;Ano2;Camkk2;Rarres1;Col5a3;Taf1c;Htra4;Sytl5;Plac8;Fmo4;Pgf;Ankrd12;Efhd1;Ifit3;Cst6;Comp;Hspa5,0.460404,-0.316352,-0.59854,-0.051124,0.118327,-0.118611,0.333317,-0.103787,-0.3009,0.08303,0.144052,-0.069637,0.345989
AHR (human),38,Hsph1;Bhlhe41;Dgat2;Slc27a1;Sh3bp2;Kcnd3;Slc9a3r1;Hsp90aa1;Cox4i2;Me3;Ttc39b;Tspan4;Creld2;Pcsk6;Nfil3;Herpud1;Taf1c;Cytl1;Vcan;Pik3r3;Psrc1;Cry1;Cyb561;Angptl4;Adamtsl2;Dio2;Igfbp3;Esrrg;Tnnt2;Ezr;Ifit3;Npy1r;Wif1;Aldh3a1;Slc2a1;Hlf;Camk2b;Nt5dc2,0.45741,-0.289311,-0.465213,-0.094133,-0.105528,-0.315913,0.071716,0.168099,-0.027297,0.358453,0.103487,-0.09083,0.259124
TEAD4 (human),42,Klf11;Klf15;Bhlhe41;Hsd11b2;Tcp11l2;Cox6b2;Tmem52;Zbtb16;Sh3bp2;Slc9a3r1;Lepr;Nova1;St5;Fndc5;Cpne7;Egr3;Ppp1r1b;Adcyap1r1;Tspan4;Camkk2;Cbs;Tef;St3gal4;Nr1d2;Bcam;Prdx6;Stmn1;Cyb561;Adm;Angptl4;Erf;Ankrd12;Itpr3;Dnaja1;Arntl;Ezr;Nme3;Atp1b1;Dbp;Top1mt;Camk2b;Nt5dc2,0.452725,-0.36485,-0.49231,-0.191488,0.078405,-0.098958,0.233061,0.087875,-0.112287,0.221924,-0.031387,-0.24572,0.149422
IRF8 (mouse),38,Mettl7a1;Mthfd2;Spp1;Slc9a3r1;Dlx6;Txnip;Egr3;Adcyap1r1;Ifi205;Tbx20;Pld1;Cyp26b1;Rasgef1b;Gfod2;Cbs;G0s2;Cdkn1a;Deptor;Selenbp1;Dnaja1;Ifit1;Lmo2;Lonrf1;Wee1;Cadm1;Tmem51;Psmb8;Hp;Isg15;Klhl13;Rgs7;Wnt2;Tmem14a;Cacnb4;Notch4;Cutc;Sash1;Dtx4,0.447397,-0.383096,-0.59894,-0.16811,0.064301,-0.180975,0.255601,-0.056637,-0.258466,0.140195,-0.032833,-0.212123,0.16872
ELF3 (human),42,Hsd11b2;Slco3a1;Tmem52;S100a4;Sh3bp2;Slc38a1;Hsp90aa1;Tnfrsf25;Lcn8;Ece1;Ccl2;Fndc5;Adcyap1r1;Gspt2;Per1;Stbd1;Cytl1;Mmp3;Tnfaip2;Marveld1;Cpt2;St3gal4;Pax1;Adm;Fmo4;Dhrs3;Angptl4;Ccl11;Aifm3;Fkbp5;Pgf;Itpr3;Slc24a5;Adamts4;Aqp1;Rhoc;Sorbs1;Lrrn4cl;Cxcl2;Dbp;Top1mt;Camk2b,0.446762,-0.282281,-0.463733,-0.034899,0.164481,-0.014586,0.330539,-0.011221,-0.185361,0.156992,0.021792,-0.136232,0.198726
RUNX2 (human),39,Dgat2;Mbd1;Fabp4;Tmem52;Kcna6;Psmb8;Sh3bp2;Spp1;Fam13a;Gria4;Fhl2;Ece1;Spon2;Slc10a6;Ano2;Camkk2;Fmo1;Angptl4;Gpr146;Ccl11;Anxa8;Erf;Rfc3;Uba52;Aspa;Slc24a5;Sema3e;Sost;Mthfd1l;Ptgfr;Ifit3;Glul;Tsc22d3;Tlr4;Svil;Lmo2;Diaph3;Hspb1;Dbp,0.436299,-0.363342,-0.559875,-0.163867,0.072957,-0.103788,0.246051,0.067789,-0.076489,0.236038,-0.026739,-0.226073,0.122851
CBEPB (mouse),41,Txnip;Herpud1;Ccnb1ip1;Htra4;Ptx3;Col27a1;Mab21l2;Arrdc3;Dock10;Dbf4;Stbd1;Trdn;Mmp3;Prdx6;Cybrd1;Esrrg;Mettl7a1;Bhlhe41;Osgin1;Gspt2;Rarres1;Serpina3c;Sorbs1;Lmo2;Hoxa10;Idi1;Hlf;Fabp4;Tmem52;Lepr;Ctla2a;Ctsk;Zfp119b;Cntfr;Serpine1;Fmo2;Efhd1;Inmt;Tsc22d3;Pdia6;Pik3ip1,0.434171,-0.292941,-0.454408,-0.094392,0.083762,-0.081206,0.30485,0.141231,-0.026895,0.299238,0.012884,-0.14367,0.213548
ETS2 (human),35,Prex1;Mbd1;Smtnl2;Tmem51;Osgin1;Dbf4;Txnip;Ccl7;Ctsk;Enpp6;Rgs7;Mmp3;Bmp4;Marveld1;Hspa1b;Adm;Angptl4;Notch4;Apoc1;Slc24a5;Adamts4;Sost;Hmcn1;Ifit3;Lrrn4cl;Ptn;Lmo2;Sash1;Postn;Diaph3;Lox;Usp54;Csf2ra;Dbi;Dtx4,0.433499,-0.283519,-0.533244,-0.031943,-0.024792,-0.225686,0.138829,-0.036822,-0.224112,0.14957,0.14998,-0.065846,0.379021
